,orthography,phonology,Class,gender,gender_numeric
225,abgeledert,&pg@led@rt,A,,
226,abgelegen,&pg@leg@n,A,,
227,abgeleiert,&pg@lW@rt,A,,
228,abgelten,&pgElt@n,V,,
229,Abgeltung,&pgEltUN,N,v.,2.0
230,abgemacht,&pg@m&xt,A,,
231,abgemessen,&pg@mEs@n,A,,
232,abgeneigt,&pg@nWkt,A,,
233,abgenutzt,&pg@nU=t,A,,
234,abgeordnet,&pg@Ordn@t,A,,
235,Abgeordnete,&pg@Ordn@t@,N,v.,21.0
236,Abgeordnetenhaus,&pg@Ordn@t@nhBs,N,o.,3.0
237,abgerissen,&pg@rIs@n,A,,
238,abgerundet,&pg@rUnd@t,A,,
239,abgesagt,&pg@zakt,A,,
240,Abgesandte,&pg@z&nt@,N,v.,21.0
241,Abgesang,&pg@z&N,N,m.,1.0
242,abgeschabt,&pg@Sapt,A,,
243,abgeschieden,&pg@Sid@n,A,,
244,Abgeschiedenheit,&pg@Sid@nhWt,N,v.,2.0
245,abgeschlagen,&pg@Slag@n,A,,
246,abgeschlossen,&pg@SlOs@n,A,,
247,abgeschmackt,&pg@Sm&kt,A,,
248,Abgeschmacktheit,&pg@Sm&kthWt,N,v.,2.0
249,abgesehen,&pg@ze@n,A,,
250,abgesondert,&pg@zOnd@rt,A,,
251,abgespannt,&pg@Sp&nt,A,,
252,abgespielt,&pg@Spilt,A,,
253,abgestanden,&pg@St&nd@n,A,,
254,abgestorben,&pg@StOrb@n,A,,
255,abgestossen,&pg@Stos@n,A,,
256,abgestuft,&pg@Stuft,A,,
257,abgestumpft,&pg@StUm+t,A,,
258,Abgestumpftheit,&pg@StUm+thWt,N,v.,2.0
259,abgetakelt,&pg@tak@lt,A,,
260,abgetan,&pg@tan,A,,
261,abgetragen,&pg@trag@n,A,,
262,abgewinnen,&pg@vIn@n,V,,
263,abgewogen,&pg@vog@n,A,,
264,Abgewogenheit,&pg@vog@nhWt,N,v.,2.0
265,abgewoehnen,&pg@v|n@n,V,,
266,abgezogen,&pg@=og@n,A,,
267,abgiessen,&pgis@n,V,,
268,Abglanz,&pgl&n=,N,m.,1.0
269,abgleichen,&pglWx@n,V,,
270,abgleiten,&pglWt@n,V,,
271,abglitschen,&pglItS@n,V,,
272,Abgott,&pgOt,N,m.,1.0
273,Abgoetterei,&pg/t@rW,N,v.,2.0
274,abgoettisch,&pg/tIS,A,,
275,Abgottschlange,&pgOtSl&N@,N,v.,2.0
276,abgraben,&pgrab@n,V,,
277,abgrasen,&pgraz@n,V,,
278,abgraetschen,&pgr)tS@n,V,,
279,abgreifen,&pgrWf@n,V,,
280,abgrenzen,&pgrEn=@n,V,,
281,Abgrenzung,&pgrEn=UN,N,v.,2.0
282,Abgrund,&pgrUnt,N,m.,1.0
283,abgruendig,&pgrYndIx,A,,
284,abgrundtief,&pgrUnttif,A,,
285,abgucken,&pgUk@n,V,,
286,Abguss,&pgUs,N,m.,1.0
287,abhaben,&phab@n,V,,
288,abhacken,&ph&k@n,V,,
289,abhaken,&phak@n,V,,
290,abhaekeln,&ph)k@ln,V,,
291,abhalftern,&ph&lft@rn,V,,
292,abhalten,&ph<@n,V,,
293,Abhaltung,&ph<UN,N,v.,2.0
294,abhandeln,&ph&nd@ln,V,,
295,abhanden,&ph&nd@n,ADV,,
296,Abhandlung,&ph&ndlUN,N,v.,2.0
297,abhaengen,&phEN@n,V,,
298,Abhang,&ph&N,N,m.,1.0
299,abhaengig,&phENIx,A,,
300,Abhaengigkeit,&phENIxkWt,N,v.,2.0
301,Abhaengigkeitsverhaeltnis,&phENIxkW=fErhEltnIs,N,o.,3.0
302,abhaermen,&phErm@n,V,,
303,abhaerten,&phErt@n,V,,
304,Abhaertung,&phErtUN,N,v.,2.0
305,abhauen,&phB@n,V,,
306,abheben,&pheb@n,V,,
307,abhebern,&pheb@rn,V,,
308,abheften,&phEft@n,V,,
309,abhelfen,&phElf@n,V,,
310,abhetzen,&phE=@n,V,,
311,abheuern,&phX@rn,V,,
312,Abhilfe,&phIlf@,N,v.,2.0
313,Abhitze,&phI=@,N,v.,2.0
314,abholen,&phol@n,V,,
315,abhold,&phOlt,A,,
316,Abholer,&phol@r,N,m.,1.0
317,abholzen,&phOl=@n,V,,
318,Abholzung,&phOl=UN,N,v.,2.0
319,abhoeren,&ph|r@n,V,,
320,abhorchen,&phOrx@n,V,,
321,Abiogenese,&biogenez@,N,v.,2.0
322,abirren,&pIr@n,V,,
323,Abitur,&bitur,N,o.,3.0
324,Abiturient,&bituriEnt,N,m.,1.0
325,Abiturientin,&bituriEntIn,N,v.,2.0
326,Abjudikation,&pjudik&=ion,N,v.,2.0
327,abjudizieren,&pjudi=ir@n,V,,
328,abkaemmen,&pkEm@n,V,,
329,abkaempfen,&pkEm+@n,V,,
330,abkanzeln,&pk&n=@ln,V,,
331,Abkanzelung,&pk&n=@lUN,N,v.,2.0
332,abkapiteln,&pk&pit@ln,V,,
333,abkapseln,&pk&ps@ln,V,,
334,Abkapselung,&pk&ps@lUN,N,v.,2.0
335,Abkapslung,&pk&pslUN,N,v.,2.0
336,abkarten,&pkart@n,V,,
337,abkassieren,&pk&sir@n,V,,
