,orthography,phonology,Class,gender,gender_numeric
44752,unwert,Unvert,A,,
44753,Unwert,Unvert,N,m.,1.0
44754,Unwesen,Unvez@n,N,o.,3.0
44755,unwesentlich,Unvez@ntlIx,A,,
44756,Unwetter,UnvEt@r,N,o.,3.0
44757,unwichtig,UnvIxtIx,A,,
44758,Unwichtigkeit,UnvIxtIxkWt,N,v.,2.0
44759,unwiderlegbar,Unvid@rlekbar,A,,
44760,unwiderleglich,Unvid@rleklIx,A,,
44761,unwiderruflich,Unvid@rruflIx,A,,
44762,unwidersprochen,Unvid@rSprOx@n,A,,
44763,unwiderstehlich,Unvid@rStelIx,A,,
44764,Unwiderstehlichkeit,Unvid@rStelIxkWt,N,v.,2.0
44765,unwiederbringlich,Unvid@rbrINlIx,A,,
44766,Unwille,UnvIl@,N,m.,1.0
44767,Unwillen,UnvIl@n,N,m.,1.0
44768,unwillentlich,UnvIl@ntlIx,A,,
44769,unwillig,UnvIlIx,A,,
44770,unwillkommen,UnvIlkOm@n,A,,
44771,unwillkuerlich,UnvIlkyrlIx,A,,
44772,unwirklich,UnvIrklIx,A,,
44773,Unwirklichkeit,UnvIrklIxkWt,N,v.,2.0
44774,unwirksam,UnvIrkzam,A,,
44775,Unwirksamkeit,UnvIrkzamkWt,N,v.,2.0
44776,unwirsch,UnvIrS,A,,
44777,unwirtlich,UnvIrtlIx,A,,
44778,Unwirtlichkeit,UnvIrtlIxkWt,N,v.,2.0
44779,unwirtschaftlich,UnvIrtS&ftlIx,A,,
44780,Unwirtschaftlichkeit,UnvIrtS&ftlIxkWt,N,v.,2.0
44781,unwissend,UnvIs@nt,A,,
44782,Unwissenheit,UnvIs@nhWt,N,v.,2.0
44783,unwissenschaftlich,UnvIs@nS&ftlIx,A,,
44784,unwissentlich,UnvIs@ntlIx,A,,
44785,unwohl,Unvol,ADV,,
44786,Unwohlsein,UnvolzWn,N,o.,3.0
44787,unwuerdig,UnvYrdIx,A,,
44788,Unwuerdigkeit,UnvYrdIxkWt,N,v.,2.0
44789,Unzahl,Un=al,N,v.,2.0
44790,unzaehlbar,Un=)lbar,A,,
44791,unzaehlig,Un=)lIx,A,,
44792,unzaehligemal,Un=)lig@mal,ADV,,
44793,unzaehmbar,Un=)mbar,A,,
44794,Unze,Un=@,N,v.,2.0
44795,Unzeit,Un=Wt,N,v.,2.0
44796,unzeitgemaess,Un=Wtg@m)s,A,,
44797,unzeitig,Un=WtIx,A,,
44798,unzensiert,Un=Enzirt,A,,
44799,unzenweise,Un=@nvWz@,ADV,,
44800,unzerbrechlich,Un=ErbrExlIx,A,,
44801,Unzerbrechlichkeit,Un=ErbrExlIxkWt,N,v.,2.0
44802,unzerreissbar,Un=ErrWsbar,A,,
44803,unzerstoerbar,Un=ErSt|rbar,A,,
44804,unzertrennbar,Un=ErtrEnbar,A,,
44805,unzertrennlich,Un=ErtrEnlIx,A,,
44806,Unziale,Un=ial@,N,v.,2.0
44807,Unzialschrift,Un=ialSrIft,N,v.,2.0
44808,unziemend,Un=im@nt,A,,
44809,unziemlich,Un=imlIx,A,,
44810,unzivilisiert,Un=ivilizirt,A,,
44811,Unzucht,Un=Uxt,N,v.,2.0
44812,unzuechtig,Un=YxtIx,A,,
44813,Unzuechtigkeit,Un=YxtIxkWt,N,v.,2.0
44814,unzufrieden,Un=ufrid@n,A,,
44815,Unzufriedenheit,Un=ufrid@nhWt,N,v.,2.0
44816,unzugaenglich,Un=ugENlIx,A,,
44817,Unzugaenglichkeit,Un=ugENlIxkWt,N,v.,2.0
44818,unzulaenglich,Un=ulENlIx,A,,
44819,Unzulaenglichkeit,Un=ulENlIxkWt,N,v.,2.0
44820,unzulaessig,Un=ulEsIx,A,,
44821,unzumutbar,Un=umutbar,A,,
44822,unzurechnungsfaehig,Un=urExnUNsf)Ix,A,,
44823,Unzurechnungsfaehigkeit,Un=urExnUNsf)IxkWt,N,v.,2.0
44824,unzureichend,Un=urWx@nt,A,,
44825,unzusammenhaengend,Un=uz&m@nhEN@nt,A,,
44826,unzustaendig,Un=uStEndIx,A,,
44827,Unzustaendigkeit,Un=uStEndIxkWt,N,v.,2.0
44828,unzutraeglich,Un=utr)klIx,A,,
44829,Unzutraeglichkeit,Un=utr)klIxkWt,N,v.,2.0
44830,unzutreffend,Un=utrEf@nt,A,,
44831,unzuverlaessig,Un=ufErlEsIx,A,,
44832,Unzuverlaessigkeit,Un=ufErlEsIxkWt,N,v.,2.0
44833,unzweckmaessig,Un=vEkm)sIx,A,,
44834,Unzweckmaessigkeit,Un=vEkm)sIxkWt,N,v.,2.0
44835,unzweideutig,Un=vWdXtIx,A,,
44836,Unzweideutigkeit,Un=vWdXtIxkWt,N,v.,2.0
44837,unzweifelhaft,Un=vWf@lh&ft,A,,
44838,Upanischad,upanIS&t,N,v.,2.0
44839,ueppig,YpIx,A,,
44840,Ueppigkeit,YpIxkWt,N,v.,2.0
44841,Ur,ur,N,m.,1.0
44842,Urabstimmung,ur&pStImUN,N,v.,2.0
44843,Uradel,urad@l,N,m.,1.0
44844,Urahn,uran,N,m.,1.0
44845,Urahne,uran@,N,v.,2.0
44846,Urahne,uran@,N,m.,1.0
44847,Ural,ural,N,m.,1.0
44848,uralaltaisch,ural<aIS,A,,
44849,Uralgebiet,uralg@bit,N,o.,3.0
44850,uralisch,uralIS,A,,
44851,uralt,ur<,A,,
44852,Uralter,ur<@r,N,o.,3.0
44853,Uraemie,urEmi,N,v.,2.0
44854,Uran,uran,N,o.,3.0
44855,Uranbrenner,uranbrEn@r,N,m.,1.0
44856,Uranfang,ur&nf&N,N,m.,1.0
44857,uranfaenglich,ur&nfENlIx,A,,
44858,Uranus,uranUs,N,m.,1.0
44859,urauffuehren,urBffyr@n,V,,
44860,Urauffuehrung,urBffyrUN,N,v.,2.0
44861,urban,Urban,A,,
44862,urbanisieren,Urbanizir@n,V,,
44863,Urbanisierung,UrbanizirUN,N,v.,2.0
44864,Urbanitaet,Urbanit)t,N,v.,2.0
44865,urbar,urbar,A,,
44866,urbarisieren,urbarizir@n,V,,
44867,Urbarisierung,urbarizirUN,N,v.,2.0
44868,Urbedeutung,urb@dXtUN,N,v.,2.0
44869,Urbeginn,urb@gIn,N,m.,1.0
44870,Urbevoelkerung,urb@f/lk@rUN,N,v.,2.0
44871,Urbewohner,urb@von@r,N,m.,1.0
44872,Urbild,urbIlt,N,o.,3.0
44873,Urchristentum,urkrIst@ntum,N,o.,3.0
44874,urchristlich,urkrIstlIx,A,,
44875,ureigen,urWg@n,A,,
44876,ureigentuemlich,urWg@ntymlIx,A,,
44877,Ureinwohner,urWnvon@r,N,m.,1.0
44878,Urenkel,urENk@l,N,m.,1.0
44879,Urenkelin,urENk@lIn,N,v.,2.0
44880,Urform,urfOrm,N,v.,2.0
44881,urgemuetlich,urg@mytlIx,A,,
44882,urgent,UrgEnt,A,,
44883,Urgenz,UrgEn=,N,v.,2.0
44884,urgermanisch,urgErmanIS,A,,
44885,Urgeschichte,urg@SIxt@,N,v.,2.0
44886,urgeschichtlich,urg@SIxtlIx,A,,
44887,Urgestalt,urg@St<,N,v.,2.0
44888,Urgestein,urg@StWn,N,o.,3.0
44889,Urgewalt,urg@v<,N,v.,2.0
44890,Urgrossmutter,urgrosmUt@r,N,v.,2.0
44891,urgrossmuetterlich,urgrosmYt@rlIx,A,,
44892,Urgrossvater,urgrosfat@r,N,m.,1.0
44893,urgrossvaeterlich,urgrosf)t@rlIx,A,,
44894,Urgrund,urgrUnt,N,m.,1.0
44895,Urheber,urheb@r,N,m.,1.0
44896,Urheberin,urheb@rIn,N,v.,2.0
44897,Urheberrecht,urheb@rrExt,N,o.,3.0
44898,urheberrechtlich,urheb@rrExtlIx,A,,
44899,Urheberschaft,urheb@rS&ft,N,v.,2.0
44900,Urheberschutz,urheb@rSU=,N,m.,1.0
44901,Urheimat,urhWmat,N,v.,2.0
44902,Urin,urin,N,m.,1.0
44903,Urinal,urinal,N,o.,3.0
44904,urinieren,urinir@n,V,,
44905,Urkirche,urkIrx@,N,v.,2.0
44906,urkomisch,urkomIS,A,,
44907,Urkraft,urkr&ft,N,v.,2.0
44908,urkunden,urkUnd@n,V,,
44909,Urkunde,urkUnd@,N,v.,2.0
44910,Urkundenfaelschung,urkUnd@nfElSUN,N,v.,2.0
44911,Urkundenforschung,urkUnd@nfOrSUN,N,v.,2.0
44912,urkundlich,urkUntlIx,A,,
44913,urlauben,urlBb@n,V,,
44914,Urlaub,urlBp,N,m.,1.0
44915,Urlauber,urlBb@r,N,m.,1.0
44916,Urlaubsgeld,urlBpsgElt,N,o.,3.0
44917,Urlaubsgesuch,urlBpsg@zux,N,o.,3.0
44918,Urlaubstag,urlBpstak,N,m.,1.0
44919,Urlaubszeit,urlBps=Wt,N,v.,2.0
44920,Urmeer,urmer,N,o.,3.0
44921,Urmensch,urmEnS,N,m.,1.0
44922,urmenschlich,urmEnSlIx,A,,
44923,Urmeter,urmet@r,N,o.,3.0
44924,Urmutter,urmUt@r,N,v.,2.0
44925,Urne,Urn@,N,v.,2.0
44926,Urnenfriedhof,Urn@nfrithof,N,m.,1.0
44927,Urnengrab,Urn@ngrap,N,o.,3.0
44928,urogenital,urogenital,A,,
44929,Urogenitalsystem,urogenitalzYstem,N,o.,3.0
44930,Urologe,urolog@,N,m.,1.0
44931,Urologie,urologi,N,v.,2.0
44932,urologisch,urologIS,A,,
44933,Uroskopie,uroskopi,N,v.,2.0
44934,Urpflanze,ur+l&n=@,N,v.,2.0
44935,urploetzlich,urpl/=lIx,A,,
44936,Urproduktion,urprodUk=ion,N,v.,2.0
44937,Urquell,urkvEl,N,m.,1.0
44938,Urquelle,urkvEl@,N,v.,2.0
44939,Ursache,urz&x@,N,v.,2.0
44940,ursaechlich,urzExlIx,A,,
44941,Urschrift,urSrIft,N,v.,2.0
44942,urschriftlich,urSrIftlIx,A,,
44943,Ursprache,urSprax@,N,v.,2.0
44944,Ursprung,urSprUN,N,m.,1.0
44945,urspruenglich,urSprYNlIx,A,,
44946,Urspruenglichkeit,urSprYNlIxkWt,N,v.,2.0
44947,Ursprungsland,urSprUNsl&nt,N,o.,3.0
44948,Ursprungszeugnis,urSprUNs=XknIs,N,o.,3.0
44949,Urstand,urSt&nt,N,m.,1.0
44950,Urstoff,urStOf,N,m.,1.0
44951,urstofflich,urStOflIx,A,,
44952,Ursulinerin,Urzulin@rIn,N,v.,2.0
44953,urteilen,UrtWl@n,V,,
44954,Urteil,UrtWl,N,o.,3.0
44955,Urteilsbegruendung,UrtWlsb@grYndUN,N,v.,2.0
44956,urteilsfaehig,UrtWlsf)Ix,A,,
44957,Urteilsfaehigkeit,UrtWlsf)IxkWt,N,v.,2.0
44958,Urteilsfindung,UrtWlsfIndUN,N,v.,2.0
44959,Urteilskraft,UrtWlskr&ft,N,v.,2.0
44960,urteilslos,UrtWlslos,A,,
44961,Urteilsspruch,UrtWlsSprUx,N,m.,1.0
44962,Urteilsverkuendung,UrtWlsfErkYndUN,N,v.,2.0
44963,Urteilsvermoegen,UrtWlsfErm|g@n,N,o.,3.0
44964,Urteilsvollstreckung,UrtWlsfOlStrEkUN,N,v.,2.0
44965,Urtext,urtEkst,N,m.,1.0
44966,Urtierchen,urtirx@n,N,o.,3.0
44967,Urtrieb,urtrip,N,m.,1.0
44968,urtuemlich,urtymlIx,A,,
44969,Urtuemlichkeit,urtymlIxkWt,N,v.,2.0
44970,Urtyp,urtyp,N,m.,1.0
44971,Urtypus,urtypUs,N,m.,1.0
44972,uruguayisch,urugu&jIS,A,,
44973,Ururahn,ururan,N,m.,1.0
44974,Ururenkel,ururENk@l,N,m.,1.0
44975,Urvater,urfat@r,N,m.,1.0
44976,urvaeterlich,urf)t@rlIx,A,,
44977,urverwandt,urfErv&nt,A,,
44978,Urverwandtschaft,urfErv&ntS&ft,N,v.,2.0
44979,Urviech,urvix,N,o.,3.0
44980,Urvieh,urfi,N,o.,3.0
44981,Urvolk,urfOlk,N,o.,3.0
44982,Urwald,urv<,N,m.,1.0
44983,Urwelt,urvElt,N,v.,2.0
44984,urweltlich,urvEltlIx,A,,
44985,urwuechsig,urvyksIx,A,,
44986,Urwuechsigkeit,urvyksIxkWt,N,v.,2.0
44987,Urzeit,ur=Wt,N,v.,2.0
44988,urzeitlich,ur=WtlIx,A,,
44989,Urzelle,ur=El@,N,v.,2.0
44990,Urzeugung,ur=XgUN,N,v.,2.0
44991,Urzustand,ur=uSt&nt,N,m.,1.0
44992,urzustaendlich,ur=uStEntlIx,A,,
44993,Usance,uzqs,N,v.,2.0
44994,usuell,uzuEl,A,,
44995,Usurpation,uzUrp&=ion,N,v.,2.0
44996,Usurpator,uzUrpatOr,N,m.,1.0
44997,usurpatorisch,uzUrp&torIS,A,,
44998,usurpieren,uzUrpir@n,V,,
44999,Usus,uzUs,N,m.,1.0
45000,Uterus,uterUs,N,m.,1.0
45001,utilitaer,utilit)r,A,,
45002,Utilitarier,utilitari@r,N,m.,1.0
45003,Utilitarismus,utilitarIsmUs,N,m.,1.0
45004,Utilitarist,utilit&rIst,N,m.,1.0
45005,utilitaristisch,utilit&rIstIS,A,,
45006,Utilitaet,utilit)t,N,v.,2.0
45007,Utilitaetslehre,utilit)=ler@,N,v.,2.0
45008,Utopia,utopia,N,o.,3.0
45009,Utopie,utopi,N,v.,2.0
45010,utopisch,utopIS,A,,
45011,Utopismus,utopIsmUs,N,m.,1.0
45012,Utopist,utopIst,N,m.,1.0
45013,Uvula,uvula,N,v.,2.0
45014,V,fB,N,o.,3.0
45015,vag,vak,A,,
45016,Vagabondage,v&g&bOndaZ@,N,v.,2.0
45017,Vagabund,v&g&bUnt,N,m.,1.0
45018,Vagabundenleben,v&g&bUnd@nleb@n,N,o.,3.0
45019,vagabundieren,v&g&bUndir@n,V,,
45020,Vagant,v&g&nt,N,m.,1.0
45021,Vagantendichtung,v&g&nt@ndIxtUN,N,v.,2.0
45022,vage,v&g@,A,,
45023,Vagheit,vakhWt,N,v.,2.0
45024,vagieren,v&gir@n,V,,
45025,Vagina,v&gina,N,v.,2.0
45026,vaginal,v&ginal,A,,
45027,Vaginismus,v&ginIsmUs,N,m.,1.0
45028,vakant,v&k&nt,A,,
45029,Vakanz,v&k&n=,N,v.,2.0
45030,Vakuole,v&kuol@,N,v.,2.0
45031,Vakuum,vakuUm,N,o.,3.0
45032,Vakuumapparat,vakuUm&p&rat,N,m.,1.0
45033,Vakuummeter,vakuUmmet@r,N,o.,3.0
45034,Vakuumpumpe,vakuUmpUmp@,N,v.,2.0
45035,vakuumverpackt,vakuUmfErp&kt,A,,
45036,Vakzin,v&k=in,N,o.,3.0
45037,Vakzination,v&k=in&=ion,N,v.,2.0
45038,Vakzine,v&k=in@,N,v.,2.0
45039,vakzinieren,v&k=inir@n,V,,
45040,Vakzinierung,v&k=inirUN,N,v.,2.0
45041,Valenz,v&lEn=,N,v.,2.0
45042,Valeur,v&l|r,N,v.,2.0
45043,valid,v&lit,A,,
45044,Validitaet,v&lidit)t,N,v.,2.0
45045,Valor,v&lOr,N,m.,1.0
45046,Valorenversicherung,v&lor@nfErzIx@rUN,N,v.,2.0
45047,Valorisation,v&loriz&=ion,N,v.,2.0
45048,valorisieren,v&lorizir@n,V,,
45049,Valorisierung,v&lorizirUN,N,v.,2.0
45050,Valuta,v&luta,N,v.,2.0
45051,Valutaklausel,v&lutaklBz@l,N,v.,2.0
45052,Valutakredit,v&lutakredit,N,m.,1.0
45053,Valutastand,v&lutaSt&nt,N,m.,1.0
45054,valutieren,v&lutir@n,V,,
45055,Valvation,v&lv&=ion,N,v.,2.0
45056,valvieren,v&lvir@n,V,,
45057,Vamp,vEmp,N,m.,1.0
45058,Vampir,v&mpir,N,m.,1.0
45059,Vanille,v&nIlj@,N,v.,2.0
45060,Vanilleeis,v&nIlj@Ws,N,o.,3.0
45061,Vanillezucker,v&nIlj@=Uk@r,N,m.,1.0
45062,Vanillin,v&nIljin,N,o.,3.0
45063,Vaporimeter,v&porimet@r,N,o.,3.0
45064,Vaporisation,v&poriz&=ion,N,v.,2.0
45065,vaporisieren,v&porizir@n,V,,
45066,Vaporisierung,v&porizirUN,N,v.,2.0
45067,variabel,v&riab@l,A,,
45068,Variabilitaet,v&ri&bilit)t,N,v.,2.0
45069,Variable,v&riabl@,N,v.,2.0
45070,variant,varI&nt,A,,
45071,Variante,v&ri&nt@,N,v.,2.0
45072,Varianz,v&ri&n=,N,v.,2.0
45073,Variation,v&ri&=ion,N,v.,2.0
45074,Variationsbreite,v&ri&=ionsbrWt@,N,v.,2.0
45075,variationsfaehig,v&ri&=ionsf)Ix,A,,
45076,Varietaet,v&riet)t,N,v.,2.0
45077,variieren,v&riir@n,V,,
45078,varikoes,v&rik|s,A,,
45079,Varikositaet,v&rikozit)t,N,v.,2.0
45080,Varikozele,v&riko=el@,N,v.,2.0
45081,Variola,v&riola,N,v.,2.0
45082,Variole,v&riol@,N,v.,2.0
45083,Variometer,v&riomet@r,N,o.,3.0
45084,Varityper,vEritWp@r,N,m.,1.0
45085,Varix,varIks,N,v.,2.0
45086,Varize,v&ri=@,N,v.,2.0
45087,Varizelle,v&ri=El@,N,v.,2.0
45088,Vasall,v&z&l,N,m.,1.0
45089,Vasallenstaat,v&z&l@nStat,N,m.,1.0
45090,Vasallentum,v&z&l@ntum,N,o.,3.0
45091,Vaeschen,v)sx@n,N,o.,3.0
45092,Vase,vaz@,N,v.,2.0
45093,Vasektomie,v&zEktomi,N,v.,2.0
45094,Vaselin,v&zelin,N,o.,3.0
45095,Vaseline,v&zelin@,N,v.,2.0
45096,vasenfoermig,vaz@nf/rmIx,A,,
45097,Vasenmalerei,vaz@nmal@rW,N,v.,2.0
45098,Vaeslein,v)slWn,N,o.,3.0
45099,vasomotorisch,v&zomotorIS,A,,
45100,Vater,fat@r,N,m.,1.0
45101,Vaeterchen,f)t@rx@n,N,o.,3.0
45102,Vaterfigur,fat@rfigur,N,v.,2.0
45103,Vaterhaus,fat@rhBs,N,o.,3.0
45104,Vaterland,fat@rl&nt,N,o.,3.0
45105,vaterlaendisch,fat@rlEndIS,A,,
45106,vaterlandsliebend,fat@rl&n=lib@nt,A,,
45107,vaterlandslos,fat@rl&n=los,A,,
45108,Vaterlandsverteidiger,fat@rl&n=fErtWdIg@r,N,m.,1.0
45109,Vaeterlein,f)t@rlWn,N,o.,3.0
45110,vaeterlich,f)t@rlIx,A,,
45111,vaeterlicherseits,f)t@rlIx@rzW=,ADV,,
45112,Vaeterlichkeit,f)t@rlIxkWt,N,v.,2.0
45113,vaterlos,fat@rlos,A,,
45114,Vatermoerder,fat@rm/rd@r,N,m.,1.0
45115,Vatername,fat@rnam@,N,m.,1.0
45116,Vaterrecht,fat@rrExt,N,o.,3.0
45117,Vatersbruder,fat@rsbrud@r,N,m.,1.0
45118,Vaterschaft,fat@rS&ft,N,v.,2.0
45119,Vaterschaftsbestimmung,fat@rS&f=b@StImUN,N,v.,2.0
45120,Vaterschaftsklage,fat@rS&f=klag@,N,v.,2.0
45121,Vatersname,fat@rsnam@,N,m.,1.0
45122,Vatersschwester,fat@rsSvEst@r,N,v.,2.0
45123,Vaterstadt,fat@rSt&t,N,v.,2.0
45124,Vaterstelle,fat@rStEl@,N,v.,2.0
45125,Vaterunser,fat@rUnz@r,N,o.,3.0
45126,Vati,fati,N,m.,1.0
45127,Vatikan,v&tikan,N,m.,1.0
45128,vatikanisch,v&tikanIS,A,,
45129,Vatikanstadt,v&tikanSt&t,N,v.,2.0
45130,Vedette,vedEt@,N,v.,2.0
45131,Vedute,vedut@,N,v.,2.0
45132,vegetabil,veget&bil,A,,
45133,vegetabilisch,veget&bilIS,A,,
45134,Vegetarianer,veget&rian@r,N,m.,1.0
45135,Vegetarier,vegetari@r,N,m.,1.0
45136,vegetarisch,vegetarIS,A,,
45137,Vegetarismus,veget&rIsmUs,N,m.,1.0
45138,Vegetation,veget&=ion,N,v.,2.0
45139,Vegetationsperiode,veget&=ionsperiod@,N,v.,2.0
45140,Vegetationspunkt,veget&=ionspUNkt,N,m.,1.0
45141,vegetativ,veget&tif,A,,
45142,vegetieren,vegetir@n,V,,
45143,vehement,vehemEnt,A,,
45144,Vehemenz,vehemEn=,N,v.,2.0
45145,Vehikel,vehik@l,N,o.,3.0
45146,Veilchen,fWlx@n,N,o.,3.0
45147,veilchenblau,fWlx@nblB,A,,
45148,Veilchenwurzel,fWlx@nvUr=@l,N,v.,2.0
45149,Veitsbohne,fW=bon@,N,v.,2.0
45150,Veitstanz,fW=t&n=,N,m.,1.0
45151,Vektor,vEktOr,N,m.,1.0
45152,vektoriell,vEktoriEl,A,,
45153,Vektorrechnung,vEktOrrExnUN,N,v.,2.0
45154,Velar,velar,N,m.,1.0
45155,Velo,velo,N,o.,3.0
45156,Velodrom,velodrom,N,o.,3.0
45157,Velours,v@lur,N,m.,1.0
45158,Veloursleder,v@lurled@r,N,o.,3.0
45159,Veloziped,velo=ipet,N,o.,3.0
45160,Velozipedist,velo=ipedIst,N,m.,1.0
45161,Velvet,vElv@t,N,m.,1.0
45162,Vendetta,vEndEta,N,v.,2.0
45163,Vene,ven@,N,v.,2.0
45164,Venenentzuendung,ven@nEnt=YndUN,N,v.,2.0
45165,venerisch,venerIS,A,,
45166,Venezueler,vene=uel@r,N,m.,1.0
45167,venezuelisch,vene=uelIS,A,,
45168,Ventil,vEntil,N,o.,3.0
45169,Ventilation,vEntil&=ion,N,v.,2.0
45170,Ventilator,vEntilatOr,N,m.,1.0
45171,ventilieren,vEntilir@n,V,,
45172,ventral,vEntral,A,,
45173,Ventrikel,vEntrik@l,N,m.,1.0
45174,ventrikular,vEntrikular,A,,
45175,Venus,venUs,N,v.,2.0
45176,Venusberg,venUsbErk,N,m.,1.0
45177,verabfolgen,fEr&pfOlg@n,V,,
45178,verabreden,fEr&pred@n,V,,
45179,Verabredung,fEr&predUN,N,v.,2.0
45180,verabreichen,fEr&prWx@n,V,,
45181,Verabreichung,fEr&prWxUN,N,v.,2.0
45182,verabscheuen,fEr&pSX@n,V,,
45183,verabscheuenswert,fEr&pSX@nsvert,A,,
45184,Verabscheuung,fEr&pSXUN,N,v.,2.0
45185,verabscheuungswuerdig,fEr&pSXUNsvYrdIx,A,,
45186,verabschieden,fEr&pSid@n,V,,
45187,Verabschiedung,fEr&pSidUN,N,v.,2.0
45188,verachten,fEr&xt@n,V,,
45189,verachtenswert,fEr&xt@nsvert,A,,
45190,Veraechter,fErExt@r,N,m.,1.0
45191,veraechtlich,fErExtlIx,A,,
45192,Verachtung,fEr&xtUN,N,v.,2.0
45193,verachtungsvoll,fEr&xtUNsfOl,A,,
45194,veralbern,fEr&lb@rn,V,,
45195,verallgemeinern,fEr&lg@mWn@rn,V,,
45196,Verallgemeinerung,fEr&lg@mWn@rUN,N,v.,2.0
45197,veralten,fEr<@n,V,,
45198,Veranda,ver&nda,N,v.,2.0
45199,verandaartig,ver&ndaartIx,A,,
45200,veraendern,fErEnd@rn,V,,
45201,veraenderbar,fErEnd@rbar,A,,
45202,veraenderlich,fErEnd@rlIx,A,,
45203,Veraenderliche,fErEnd@rlIx@,N,v.,2.0
45204,Veraenderlichkeit,fErEnd@rlIxkWt,N,v.,2.0
45205,Veraenderung,fErEnd@rUN,N,v.,2.0
45206,veraengstigen,fErENstIg@n,V,,
45207,veraengstigt,fErENstIxt,A,,
45208,verankern,fEr&Nk@rn,V,,
45209,Verankerung,fEr&Nk@rUN,N,v.,2.0
45210,veranlagen,fEr&nlag@n,V,,
45211,veranlagt,fEr&nlakt,A,,
45212,Veranlagung,fEr&nlagUN,N,v.,2.0
45213,veranlassen,fEr&nl&s@n,V,,
45214,Veranlasser,fEr&nl&s@r,N,m.,1.0
45215,Veranlassung,fEr&nl&sUN,N,v.,2.0
45216,veranschaulichen,fEr&nSBlIx@n,V,,
45217,Veranschaulichung,fEr&nSBlIxUN,N,v.,2.0
45218,veranschlagen,fEr&nSlag@n,V,,
45219,Veranschlagung,fEr&nSlagUN,N,v.,2.0
45220,veranstalten,fEr&nSt<@n,V,,
45221,Veranstalter,fEr&nSt<@r,N,m.,1.0
45222,Veranstaltung,fEr&nSt<UN,N,v.,2.0
45223,verantworten,fEr&ntvOrt@n,V,,
45224,verantwortlich,fEr&ntvOrtlIx,A,,
45225,Verantwortlichkeit,fEr&ntvOrtlIxkWt,N,v.,2.0
45226,Verantwortung,fEr&ntvOrtUN,N,v.,2.0
45227,verantwortungsbewusst,fEr&ntvOrtUNsb@vUst,A,,
45228,Verantwortungsbewusstsein,fEr&ntvOrtUNsb@vUstzWn,N,o.,3.0
45229,Verantwortungsgefuehl,fEr&ntvOrtUNsg@fyl,N,o.,3.0
45230,verantwortungslos,fEr&ntvOrtUNslos,A,,
45231,Verantwortungslosigkeit,fEr&ntvOrtUNslozIxkWt,N,v.,2.0
45232,verantwortungsvoll,fEr&ntvOrtUNsfOl,A,,
45233,verarbeiten,fEr&rbWt@n,V,,
45234,verarbeitbar,fEr&rbWtbar,A,,
45235,Verarbeitung,fEr&rbWtUN,N,v.,2.0
45236,verargen,fEr&rg@n,V,,
45237,veraergern,fErErg@rn,V,,
45238,verarmen,fEr&rm@n,V,,
45239,Verarmung,fEr&rmUN,N,v.,2.0
45240,verarzten,fEr&r=t@n,V,,
45241,veraesteln,fErEst@ln,V,,
45242,Veraestelung,fErEst@lUN,N,v.,2.0
45243,verausgaben,fErBsgab@n,V,,
45244,Verausgabung,fErBsgabUN,N,v.,2.0
45245,veraeussern,fErXs@rn,V,,
45246,veraeusserlichen,fErXs@rlIx@n,V,,
45247,Veraeusserung,fErXs@rUN,N,v.,2.0
45248,Verb,vErp,N,o.,3.0
45249,verbal,vErbal,A,,
45250,verbalisieren,vErbalizir@n,V,,
45251,Verbalismus,vErbalIsmUs,N,m.,1.0
45252,Verbalist,vErb&lIst,N,m.,1.0
45253,Verbalnote,vErbalnot@,N,v.,2.0
45254,Verbalsubstantiv,vErbalZUpst&ntif,N,o.,3.0
45255,Verband,fErb&nt,N,m.,1.0
45256,Verbandkasten,fErb&ntk&st@n,N,m.,1.0
45257,Verbandmaterial,fErb&ntm&terial,N,o.,3.0
45258,Verbandskasse,fErb&n=k&s@,N,v.,2.0
45259,Verbandskasten,fErb&n=k&st@n,N,m.,1.0
45260,Verbandsvorsitzende,fErb&n=forzI=@nd@,N,v.,21.0
45261,Verbandszeug,fErb&n==Xk,N,o.,3.0
45262,verbannen,fErb&n@n,V,,
45263,Verbannung,fErb&nUN,N,v.,2.0
45264,verbarrikadieren,fErb&rikadir@n,V,,
45265,verbauen,fErbB@n,V,,
45266,verbauern,fErbB@rn,V,,
45267,Verbauung,fErbBUN,N,v.,2.0
45268,verbeamten,fErb@&mt@n,V,,
45269,verbeissen,fErbWs@n,V,,
45270,verbellen,fErbEl@n,V,,
45271,verbergen,fErbErg@n,V,,
45272,verbessern,fErbEs@rn,V,,
45273,Verbesserer,fErbEs@r@r,N,m.,1.0
45274,Verbesserung,fErbEs@rUN,N,v.,2.0
45275,Verbesserungsvorschlag,fErbEs@rUNsforSlak,N,m.,1.0
45276,Verbessrer,fErbEsr@r,N,m.,1.0
45277,Verbessrung,fErbEsrUN,N,v.,2.0
45278,verbeugen,fErbXg@n,V,,
45279,Verbeugung,fErbXgUN,N,v.,2.0
45280,verbiegen,fErbig@n,V,,
45281,Verbiegung,fErbigUN,N,v.,2.0
45282,verbiestern,fErbist@rn,V,,
45283,verbieten,fErbit@n,V,,
45284,verbilden,fErbIld@n,V,,
45285,verbildlichen,fErbIltlIx@n,V,,
45286,Verbildlichung,fErbIltlIxUN,N,v.,2.0
45287,Verbildung,fErbIldUN,N,v.,2.0
45288,verbilligen,fErbIlIg@n,V,,
